Timestamp (s),Raw-A-0 (m),Raw-A-1 (m),KF-A-0 (m),KF-A-1 (m),MiddlePoint (m),Expected (m), Method, Mode
Time: 277.71s | Raw0: 0.25 m | Raw1: 0.27 m | Filtered0: 0.261889 m | Filtered1: 0.276378 m | Middle: 0.261030 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 278.91s | Raw0: 0.25 m | Raw1: 0.27 m | Filtered0: 0.261121 m | Filtered1: 0.276314 m | Middle: 0.260177 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 279.03s | Raw0: 0.25 m | Raw1: 0.26 m | Filtered0: 0.260401 m | Filtered1: 0.275867 m | Middle: 0.259423 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 280.12s | Raw0: 0.25 m | Raw1: 0.26 m | Filtered0: 0.259725 m | Filtered1: 0.275432 m | Middle: 0.258719 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 280.24s | Raw0: 0.25 m | Raw1: 0.26 m | Filtered0: 0.259093 m | Filtered1: 0.275008 m | Middle: 0.258062 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 281.44s | Raw0: 0.25 m | Raw1: 0.26 m | Filtered0: 0.258502 m | Filtered1: 0.274597 m | Middle: 0.257448 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 281.56s | Raw0: 0.25 m | Raw1: 0.26 m | Filtered0: 0.257948 m | Filtered1: 0.274200 m | Middle: 0.256875 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 282.65s | Raw0: 0.26 m | Raw1: 0.26 m | Filtered0: 0.257940 m | Filtered1: 0.273818 m | Middle: 0.256918 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 282.77s | Raw0: 0.26 m | Raw1: 0.26 m | Filtered0: 0.257933 m | Filtered1: 0.273451 m | Middle: 0.256958 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 284.07s | Raw0: 0.26 m | Raw1: 0.26 m | Filtered0: 0.257926 m | Filtered1: 0.273098 m | Middle: 0.256995 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 284.19s | Raw0: 0.26 m | Raw1: 0.26 m | Filtered0: 0.257920 m | Filtered1: 0.272761 m | Middle: 0.257031 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 285.18s | Raw0: 0.26 m | Raw1: 0.26 m | Filtered0: 0.257915 m | Filtered1: 0.272438 m | Middle: 0.257064 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 285.30s | Raw0: 0.26 m | Raw1: 0.26 m | Filtered0: 0.257909 m | Filtered1: 0.272129 m | Middle: 0.257095 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 286.60s | Raw0: 0.27 m | Raw1: 0.26 m | Filtered0: 0.258296 m | Filtered1: 0.271835 m | Middle: 0.257559 m | Expected: 0.313790 m | Method: direct | Mode: TEST
