Timestamp (s),Raw-A-0 (m),Raw-A-1 (m),KF-A-0 (m),KF-A-1 (m),MiddlePoint (m),Expected (m), Method, Mode
Time: 69.43s | Raw0: 0.52 m | Raw1: 0.50 m | Filtered0: 0.508674 m | Filtered1: 0.493771 m | Middle: 0.507051 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 69.54s | Raw0: 0.52 m | Raw1: 0.49 m | Filtered0: 0.509223 m | Filtered1: 0.493583 m | Middle: 0.507436 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 70.74s | Raw0: 0.52 m | Raw1: 0.49 m | Filtered0: 0.509777 m | Filtered1: 0.493401 m | Middle: 0.507819 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 70.86s | Raw0: 0.52 m | Raw1: 0.50 m | Filtered0: 0.510333 m | Filtered1: 0.493554 m | Middle: 0.508276 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 71.95s | Raw0: 0.53 m | Raw1: 0.50 m | Filtered0: 0.511276 m | Filtered1: 0.493702 m | Middle: 0.509018 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 72.07s | Raw0: 0.53 m | Raw1: 0.50 m | Filtered0: 0.512247 m | Filtered1: 0.493843 m | Middle: 0.509770 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 73.26s | Raw0: 0.51 m | Raw1: 0.50 m | Filtered0: 0.512342 m | Filtered1: 0.493979 m | Middle: 0.509875 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 73.38s | Raw0: 0.51 m | Raw1: 0.50 m | Filtered0: 0.512430 m | Filtered1: 0.494109 m | Middle: 0.509974 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 74.48s | Raw0: 0.51 m | Raw1: 0.50 m | Filtered0: 0.512511 m | Filtered1: 0.494235 m | Middle: 0.510066 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 74.60s | Raw0: 0.51 m | Raw1: 0.49 m | Filtered0: 0.512587 m | Filtered1: 0.494040 m | Middle: 0.510070 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 75.89s | Raw0: 0.50 m | Raw1: 0.49 m | Filtered0: 0.512268 m | Filtered1: 0.493851 m | Middle: 0.509787 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 76.01s | Raw0: 0.50 m | Raw1: 0.50 m | Filtered0: 0.511961 m | Filtered1: 0.493985 m | Middle: 0.509598 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 77.00s | Raw0: 0.51 m | Raw1: 0.50 m | Filtered0: 0.512056 m | Filtered1: 0.494113 m | Middle: 0.509700 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 77.12s | Raw0: 0.51 m | Raw1: 0.49 m | Filtered0: 0.512144 m | Filtered1: 0.493924 m | Middle: 0.509716 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 78.42s | Raw0: 0.51 m | Raw1: 0.49 m | Filtered0: 0.512227 m | Filtered1: 0.493739 m | Middle: 0.509728 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 78.54s | Raw0: 0.51 m | Raw1: 0.49 m | Filtered0: 0.512305 m | Filtered1: 0.493560 m | Middle: 0.509737 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 79.53s | Raw0: 0.51 m | Raw1: 0.49 m | Filtered0: 0.512378 m | Filtered1: 0.493386 m | Middle: 0.509742 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 79.65s | Raw0: 0.51 m | Raw1: 0.49 m | Filtered0: 0.512448 m | Filtered1: 0.493218 m | Middle: 0.509746 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 80.94s | Raw0: 0.51 m | Raw1: 0.49 m | Filtered0: 0.512513 m | Filtered1: 0.493054 m | Middle: 0.509747 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 81.06s | Raw0: 0.51 m | Raw1: 0.49 m | Filtered0: 0.512575 m | Filtered1: 0.492896 m | Middle: 0.509747 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 82.06s | Raw0: 0.52 m | Raw1: 0.49 m | Filtered0: 0.512954 m | Filtered1: 0.492744 m | Middle: 0.509972 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 82.18s | Raw0: 0.52 m | Raw1: 0.49 m | Filtered0: 0.513334 m | Filtered1: 0.492596 m | Middle: 0.510194 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 83.47s | Raw0: 0.51 m | Raw1: 0.49 m | Filtered0: 0.513370 m | Filtered1: 0.492454 m | Middle: 0.510177 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 83.59s | Raw0: 0.51 m | Raw1: 0.49 m | Filtered0: 0.513404 m | Filtered1: 0.492317 m | Middle: 0.510159 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 84.58s | Raw0: 0.50 m | Raw1: 0.49 m | Filtered0: 0.513112 m | Filtered1: 0.492184 m | Middle: 0.509917 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 84.70s | Raw0: 0.50 m | Raw1: 0.49 m | Filtered0: 0.512824 m | Filtered1: 0.492057 m | Middle: 0.509679 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 86.00s | Raw0: 0.50 m | Raw1: 0.49 m | Filtered0: 0.512542 m | Filtered1: 0.491934 m | Middle: 0.509446 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 86.12s | Raw0: 0.50 m | Raw1: 0.49 m | Filtered0: 0.512265 m | Filtered1: 0.491815 m | Middle: 0.509217 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 87.11s | Raw0: 0.50 m | Raw1: 0.49 m | Filtered0: 0.511994 m | Filtered1: 0.491701 m | Middle: 0.508994 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 87.23s | Raw0: 0.50 m | Raw1: 0.49 m | Filtered0: 0.511731 m | Filtered1: 0.491592 m | Middle: 0.508777 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 88.52s | Raw0: 0.50 m | Raw1: 0.49 m | Filtered0: 0.511476 m | Filtered1: 0.491486 m | Middle: 0.508566 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 88.64s | Raw0: 0.50 m | Raw1: 0.49 m | Filtered0: 0.511228 m | Filtered1: 0.491384 m | Middle: 0.508361 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 89.73s | Raw0: 0.49 m | Raw1: 0.49 m | Filtered0: 0.510638 m | Filtered1: 0.491286 m | Middle: 0.507912 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 89.85s | Raw0: 0.49 m | Raw1: 0.49 m | Filtered0: 0.510038 m | Filtered1: 0.491192 m | Middle: 0.507454 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 91.05s | Raw0: 0.50 m | Raw1: 0.49 m | Filtered0: 0.509821 m | Filtered1: 0.491101 m | Middle: 0.507272 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 91.17s | Raw0: 0.50 m | Raw1: 0.48 m | Filtered0: 0.509614 m | Filtered1: 0.490726 m | Middle: 0.507021 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 92.26s | Raw0: 0.49 m | Raw1: 0.48 m | Filtered0: 0.509042 m | Filtered1: 0.490342 m | Middle: 0.506502 m | Expected: 0.508394 m | Method: direct | Mode: TEST
