Timestamp (s),Raw-A-0 (m),Raw-A-1 (m),KF-A-0 (m),KF-A-1 (m),MiddlePoint (m),Expected (m), Method, Mode 
Time: 60.61s | Raw0: 0.99 m | Raw1: 0.98 m | Filtered0: 0.983244 m | Filtered1: 0.983807 m | Middle: 0.983240 m | Expected: 1.004223 m | Method: direct | Mode: TEST
Time: 60.73s | Raw0: 0.99 m | Raw1: 0.98 m | Filtered0: 0.983556 m | Filtered1: 0.983524 m | Middle: 0.983556 m | Expected: 1.004223 m | Method: direct | Mode: TEST
Time: 61.82s | Raw0: 0.97 m | Raw1: 0.98 m | Filtered0: 0.982969 m | Filtered1: 0.983258 m | Middle: 0.982968 m | Expected: 1.004223 m | Method: direct | Mode: TEST
Time: 61.94s | Raw0: 0.97 m | Raw1: 0.99 m | Filtered0: 0.982402 m | Filtered1: 0.983423 m | Middle: 0.982387 m | Expected: 1.004223 m | Method: direct | Mode: TEST
Time: 63.14s | Raw0: 0.99 m | Raw1: 0.99 m | Filtered0: 0.982753 m | Filtered1: 0.983578 m | Middle: 0.982743 m | Expected: 1.004223 m | Method: direct | Mode: TEST
Time: 63.26s | Raw0: 0.99 m | Raw1: 0.99 m | Filtered0: 0.983083 m | Filtered1: 0.983723 m | Middle: 0.983078 m | Expected: 1.004223 m | Method: direct | Mode: TEST
Time: 64.35s | Raw0: 0.98 m | Raw1: 0.99 m | Filtered0: 0.982958 m | Filtered1: 0.983859 m | Middle: 0.982947 m | Expected: 1.004223 m | Method: direct | Mode: TEST
Time: 64.47s | Raw0: 0.98 m | Raw1: 0.99 m | Filtered0: 0.982843 m | Filtered1: 0.983987 m | Middle: 0.982823 m | Expected: 1.004223 m | Method: direct | Mode: TEST
Time: 65.66s | Raw0: 0.98 m | Raw1: 0.99 m | Filtered0: 0.982735 m | Filtered1: 0.984108 m | Middle: 0.982707 m | Expected: 1.004223 m | Method: direct | Mode: TEST
Time: 65.78s | Raw0: 0.98 m | Raw1: 1.00 m | Filtered0: 0.982634 m | Filtered1: 0.984587 m | Middle: 0.982579 m | Expected: 1.004223 m | Method: direct | Mode: TEST
Time: 66.88s | Raw0: 0.98 m | Raw1: 1.00 m | Filtered0: 0.982540 m | Filtered1: 0.985062 m | Middle: 0.982448 m | Expected: 1.004223 m | Method: direct | Mode: TEST
Time: 67.00s | Raw0: 0.98 m | Raw1: 1.00 m | Filtered0: 0.982453 m | Filtered1: 0.985530 m | Middle: 0.982315 m | Expected: 1.004223 m | Method: direct | Mode: TEST
Time: 68.19s | Raw0: 0.98 m | Raw1: 1.00 m | Filtered0: 0.982371 m | Filtered1: 0.985989 m | Middle: 0.982180 m | Expected: 1.004223 m | Method: direct | Mode: TEST
Time: 68.31s | Raw0: 0.98 m | Raw1: 0.99 m | Filtered0: 0.982293 m | Filtered1: 0.986038 m | Middle: 0.982089 m | Expected: 1.004223 m | Method: direct | Mode: TEST
Time: 69.40s | Raw0: 1.00 m | Raw1: 0.99 m | Filtered0: 0.982923 m | Filtered1: 0.986083 m | Middle: 0.982777 m | Expected: 1.004223 m | Method: direct | Mode: TEST
